tickets_sold,time_remaining,value
15,3,-1751.30
15,4,-1751.30
15,5,-1751.30
15,6,-1751.30
15,7,-1751.30
15,8,-1751.30
15,9,-1751.30
15,10,-1751.30
15,11,-1751.30
15,12,-1751.30
15,13,-1751.30
15,14,-1751.30
15,15,-1751.30
15,16,-1751.30
15,17,-1751.30
15,18,-1751.30
15,19,-1751.30
15,20,-1751.30
